StkSeq,Basin,LHAZ,LHAZShort,Watershed,Stock,StkNmS,Lake,IdxSpn,SpnExp,TotalSpn,SpnRating,Marine,Inriver,TotalCt,CtRating,RunRating,AgeMatch,AgeType,AgeData,TotalRec,RecRating
13,Skeena,Lower Skeena Lake Type,L Skeena LT,Zymoetz,Mcdonell,Mcdon,"3 rearing lakes (Mcdonell, Dennis, Aldrich; roughly equal contribution). Many juv surveys on Mcdonell. Mid-size juv medium density. No surveys on the other 2. PR-based estimate available for all 3 lakes.",Good quality index estimate for most years since 1960. INSERT SURVEY TYPES,Moderate,Moderate uncertainty due to expansion factor.,Moderate,Small stock,Moderate,Moderate,Moderate,Moderate,Proxy,Avg,Many years,Text,Moderate
17,Skeena,Middle Skeena Lake Type,M Skeena LT,Kispiox,Swan/Stephens,SwanSteph,"3 rearing lakes (ca. 60% Swan, 30% Stephens, 10% Club, most sockeye rear in Stephens Lake). Multiple juv surveys on Swan and Stephens. Swan: small juv, low density. Stephens: large juv, medium density. PR-based estimate available for Swan and Stephens lakes.",Fair quality index estimates for most years since 1960 on 2 sites. 7 foot surveys altogether.,Variable. Moderate since 2001.  High-very high most years before that.,Moderate uncertainty due to expansion factor.,Moderate,Small stock,Moderate,Moderate,Moderate,Moderate,Stock,Avg,1 year,Text,Moderate
27,Skeena,Upper Skeena Lake Type,U Skeena LT,Sustut,Asitka,Asitk,1 rearing lake.  No juv surveys or PR-based estimate.,"Fair quality index estimate for most years since 2000, and many estimates before that. 1 aerial survey.",Moderate,Moderate uncertainty due to expansion factor.,Moderate,Small stock,Moderate,Moderate,Moderate,Moderate,Proxy,Avg,Many years,Text,Moderate
8,Skeena,Lower Skeena Lake Type,L Skeena LT,Ecstall,Johnston,Johnst,"1 rearing lake.  Multiple juv surveys. Smallest fry among the surveyed lakes, but highest density (about triple the density of the other lakes with high juv density). PR-based estimate available",Poor quality index estimate. Missing years. 1 aerial survey.,Moderate,High uncertainty due to poor survey quality combined with expansion.,Poor,Small stock,Moderate,Moderate,Moderate,Poor,Proxy,Avg,Many years,Text,Poor
12,Skeena,Lower Skeena Lake Type,L Skeena LT,Kitsumkalum,Kitsumkalum,Kitsumk,1 rearing lake.  Multiple juv surveys. Juv size and density on the lower end. PR-based estimate available.,Fair-Good quality index estimate. 2 missing years since 1960. 2 foot surveys.,High,High uncertainty due to high expansion.,Poor,Small stock,Moderate,Moderate,Moderate,Poor,Proxy,Avg,Many years,Text,Poor
26,Skeena,Upper Skeena Lake Type,U Skeena LT,Sustut,Bear,Bear,2 rearing lakes. Bear is much larger than Azuklotz (ca. 80/20 split). Both have large juv at low density. PR-based estimate available.,"Poor-fair quality index estimate with many missing years, incl. since 2014. 2 aerial and 1 foot survey.",Moderate most years. High to Extreme in some years.,High uncertainty due to poor survey quality combined with expansion.,Poor,Small stock,Moderate,Moderate,Moderate,Poor,Stock,Avg,1 year,Text,Poor
2,Nass,Upper Nass Lake Type,U Nass LT,Meziadin,Meziadin,Meziad,1 rearing lake. Multiple juv surveys. Mid-size fry. High density. PR-based estimate available.,Highly accurate fishway counts since 1966,None,"Very low uncertainty, No indication of bias",Very Good,Major stock,Major stock,Well estimated,Good,Good,Stock,Avg,Many years,TBD,Good
14,Skeena,Middle Skeena Lake Type,M Skeena LT,Kitwanga,Kitwanga,Kitwang,"1 rearing lake. Multiple juv surveys. Large size, low density. PR-based estimate available.",High quality index estimate since 2000. Some earlier estimates back to 1960.  INSERT SURVEY TYPE,None since 2000. Moderate before.,Low uncertainty since 2000,Very Good,Small stock,Moderate,Moderate,Moderate,Moderate,Stock,Avg,Many years,Text,Good
21,Skeena,Middle Skeena Lake Type,M Skeena LT,Babine,Pinkut,Pinkut,Part of 1 rearing lake. Juvenile surveys and PR capacity estimate available for all Babine lake (not separated by stock).,Derived from high-quality fence count combine with second fence count.,None,"Very low uncertainty, No indication of bias",Very Good,Major stock,Major stock,Well estimated,Good,Good,Agg,Annual,Many years,Text,Good
22,Skeena,Middle Skeena Lake Type,M Skeena LT,Babine,Fulton,Fulton,Part of 1 rearing lake. ?No juv surveys??? PR-based estimate Y/N?,Derived from high-quality fence count combine with second fence count.,None,"Very low uncertainty, No indication of bias",Very Good,Major stock,Major stock,Well estimated,Good,Good,Agg,Annual,Many years,Text,Good
25,Skeena,Upper Skeena Lake Type,U Skeena LT,Motase ,Motase ,Motas,"1 rearing lake.  Multiple juv surveys. Small juv, lowest density among surveyed lakes. PR-based estimate available.","Fair quality index estimates with a lot of missing years, including  2012-2016. 1 aerial survey.",Moderate,"High uncertainty, lots of missing years",Very poor,Small stock,Moderate,Moderate,Moderate,Moderate,Proxy,Avg,Many years,Text,Very poor
