Method,Critère,Commentaire
Sum of Smsy,Peut produire une règle de contrôle des prises?,NON. Ne produit qu'un seul point de référence. 
Sum of Smsy,Stocks dont les données sont insuffisantes?,NON. N'utilise que les estimations de Srmd disponibles.
Sum of Smsy,Permet de prendre en compte les stocks constituants?,"NON. L'information au niveau du stock est utilisée dans l'ajustement du modèle géniteurs-recrues, mais l'approche de regroupement exclut les stocks dont les données sont insuffisantes et les petits stocks pondérés à la baisse. Compte tenu de la composition des stocks des regroupements de la rivière Nass et SkeenaSauvage, cette approche équivaut à gérer selon la valeur de Srmd du plus grand stock de chaque regroupement, en supposant implicitement que la contribution relative des stocks persistera telle quelle."
Sum of Smsy,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
Sum of Smsy,Contraintes temporelles,COURT. Peuvent être calculées directement à partir de l'ensemble de paramètres géniteurs-recrues pour chaque scénario de productivité.
Umsy Comp,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'au résultat final.
Umsy Comp,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
Umsy Comp,Incertitude des résultats?,NON. L'incertitude des résultats ne fait pas partie du calcul.
Umsy Comp,Covariation de la productivité?,"NON. Les profils de la productivité pour chaque stock peuvent être pris en compte dans l'étape d'ajustement du modèle géniteurs-recrues (p. ex. modèle de Ricker AR1), mais la covariation entre les stocks n'est pas explicitement prise en compte dans les points de référence pour le regroupement qui en résultent."
Umsy Comp,Biais dans les estimations des paramètres?,"PEUT-ÊTRE. Dépend de l'état. L'ampleur et le sens du biais sont influencés par le nombre de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs (ces deux derniers facteurs influencent le contraste des données)."
Umsy Comp,Peut produire un point de référence des regroupements fondé sur l'abondance?,"NON. Cette approche tient compte du taux d'exploitation, et non de l'abondance."
Umsy Comp,Peut produire une règle de contrôle des prises?,NON. Ne produit qu'un seul point de référence. 
Umsy Comp,Stocks dont les données sont insuffisantes?,NON. N'utilise que les estimations de Urmd disponibles.
Umsy Comp,Permet de prendre en compte les stocks constituants?,"PEUT-ÊTRE. Selon la mise en œuvre. Si une borne supérieure du taux d'exploitation pour le regroupement est choisie en fonction de la valeur inférieure (ou de la valeur la plus faible) de Urmd dans le scénario de productivité récente des stocks constituants, OUI. Si un taux d'exploitation cible pour le regroupement est choisi en fonction des stocks les plus abondants ou de la productivité moyenne à long terme, NON."
Umsy Comp,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
Umsy Comp,Contraintes temporelles,COURT. Peuvent être calculées directement à partir de l'ensemble de paramètres géniteurs-recrues pour chaque scénario de productivité.
Spn Equ Prof,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'au résultat final.
Spn Equ Prof,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
Spn Equ Prof,Incertitude des résultats?,NON. L'incertitude des résultats ne fait pas partie du calcul.
Spn Equ Prof,Covariation de la productivité?,"NON. Les profils de la productivité pour chaque stock peuvent être pris en compte dans l'étape d'ajustement du modèle géniteurs-recrues (p. ex. modèle de Ricker AR1), mais la covariation entre les stocks n'est pas explicitement prise en compte dans les points de référence pour le regroupement qui en résultent."
Spn Equ Prof,Biais dans les estimations des paramètres?,"PEUT-ÊTRE. Dépend de l'état. L'ampleur et le sens du biais sont influencés par le nombre de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs (ces deux derniers facteurs influencent le contraste des données)."
Spn Equ Prof,Peut produire un point de référence des regroupements fondé sur l'abondance?,"NON. Pas directement. Cette approche donne des fourchettes cibles au niveau du stock pour l'abondance des géniteurs, et non des fourchettes pour le regroupement."
Spn Equ Prof,Peut produire une règle de contrôle des prises?,NON. Ne produit qu'une fourchette. 
Spn Equ Prof,Stocks dont les données sont insuffisantes?,NON. N'inclut que les stocks pour lesquels il existe des estimations des paramètres géniteurs-recrues.
Spn Equ Prof,Permet de prendre en compte les stocks constituants?,"PEUT-ÊTRE. Selon la mise en œuvre. Si les objectifs propres à un stock sont choisis en fonction des compromis indiqués par les profils d'équilibre propres au stock, OUI."
Spn Equ Prof,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
Spn Equ Prof,Contraintes temporelles,COURT. Peuvent être calculées directement à partir de l'ensemble de paramètres géniteurs-recrues pour chaque scénario de productivité.
ER Equ Prof,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'au résultat final.
ER Equ Prof,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
ER Equ Prof,Incertitude des résultats?,NON. L'incertitude des résultats ne fait pas partie du calcul.
ER Equ Prof,Covariation de la productivité?,"NON. Les profils de la productivité pour chaque stock peuvent être pris en compte dans l'étape d'ajustement du modèle géniteurs-recrues (p. ex. modèle de Ricker AR1), mais la covariation entre les stocks n'est pas explicitement prise en compte dans les points de référence pour le regroupement qui en résultent."
ER Equ Prof,Biais dans les estimations des paramètres?,"PEUT-ÊTRE. Dépend de l'état. L'ampleur et le sens du biais sont influencés par le nombre de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs (ces deux derniers facteurs influencent le contraste des données)."
ER Equ Prof,Peut produire un point de référence des regroupements fondé sur l'abondance?,OUI. Q : Examiner les détails.
ER Equ Prof,Peut produire une règle de contrôle des prises?,NON. Ne produit qu'une seule fourchette de points de référence. 
ER Equ Prof,Stocks dont les données sont insuffisantes?,NON. N'inclut que les stocks pour lesquels il existe des estimations des paramètres géniteurs-recrues.
ER Equ Prof,Permet de prendre en compte les stocks constituants?,OUI. Compare explicitement les TE de rechange à Urmd pour chaque stock.
ER Equ Prof,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
ER Equ Prof,Contraintes temporelles,"MOYEN. Le processus de gestion doit indiquer les objectifs précis à comparer, mais des exemples fondés sur des travaux antérieurs, comme le rapport de 2008 du Skeena Independent Science Review Panel (Walters et al. 2008) sont également nécessaires."
Stock Status,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'au résultat final.
Stock Status,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
Stock Status,Incertitude des résultats?,NON. L'incertitude des résultats ne fait pas partie du calcul.
Stock Status,Covariation de la productivité?,"NON. Les profils de la productivité pour chaque stock peuvent être pris en compte dans l'étape d'ajustement du modèle géniteurs-recrues (p. ex. modèle de Ricker AR1), mais la covariation entre les stocks n'est pas explicitement prise en compte dans les points de référence pour le regroupement qui en résultent."
Stock Status,Biais dans les estimations des paramètres?,"PEUT-ÊTRE. Dépend de l'état. L'ampleur et le sens du biais sont influencés par le nombre de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs (ces deux derniers facteurs influencent le contraste des données)."
Stock Status,Peut produire un point de référence des regroupements fondé sur l'abondance?,"NON. Les évaluations de l'état au niveau du stock sont combinées (p. ex. nombre de stocks dans la zone rouge), mais ne sont pas explicitement liées à l'abondance propre au stock ou du regroupement."
Stock Status,Peut produire une règle de contrôle des prises?,NON.
Stock Status,Stocks dont les données sont insuffisantes?,"PEUT-ÊTRE. On pourrait élaborer une règle fondée sur l'état qui tient compte de la proportion des stocks de données déficients, ou de l'état probable des stocks dont les données sont insuffisantes, selon le jugement d'experts."
Stock Status,Permet de prendre en compte les stocks constituants?,OUI. Des évaluations de l'état à plusieurs critères pour chaque stock (ou UC) sont effectuées et explicitement prises en compte dans le point de référence pour le regroupement.
Stock Status,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
Stock Status,Contraintes temporelles,MOYEN. Nécessite une évaluation de l'état à plusieurs critères (évaluations rapides de l'état) prévue d'ici l'automne 2022.
Log Reg,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'au résultat final.
Log Reg,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
Log Reg,Incertitude des résultats?,NON. L'incertitude des résultats ne fait pas partie du calcul.
Log Reg,Covariation de la productivité?,"PEUT-ÊTRE. Cette approche suppose une covariation de l'abondance (c.-à-d. que les années où l'abondance du regroupement est plus importante, l'abondance des stocks du regroupement est généralement plus grande). Une telle covariation a été observée pour les stocks sauvages de la rivière Skeena, mais pas pour les stocks de la rivière Nass lors d'une exploration préliminaire."
Log Reg,Biais dans les estimations des paramètres?,"PEUT-ÊTRE. Dépend de l'état. L'ampleur et le sens du biais sont influencés par le nombre de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs (ces deux derniers facteurs influencent le contraste des données)."
Log Reg,Peut produire un point de référence des regroupements fondé sur l'abondance?,"PEUT-ÊTRE. Peut produire des points de référence de l'abondance pour le regroupement, mais seulement dans certaines conditions. Les illustrations préliminaires montrent que ce pourrait être possible pour le stock SkeenaSauvage, mais pas pour la rivière Nass (aucune relation antérieure entre l'abondance du regroupement et l'état au niveau du stock)."
Log Reg,Peut produire une règle de contrôle des prises?,NON. Ne produit qu'un seul point de référence ou une seule fourchette.
Log Reg,Stocks dont les données sont insuffisantes?,NON. N'inclut que les stocks pour lesquels il existe des données sur les géniteurs et des estimations des points de référence pour la notation des objectifs.
Log Reg,Permet de prendre en compte les stocks constituants?,OUI. Les critères de réussite propres au stock (p. ex. Spn > médiane de Sgen dans le scénario de productivité moyenne à long terme) sont explicitement combinés en un critère de réussite pour le regroupement (p. ex. au moins x % des stocks atteignent leur objectif).
Log Reg,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
Log Reg,Contraintes temporelles,"MOYEN. Exige des lignes directrices définitives sur les méthodes, qui ont été examinées par des pairs dans un processus du SCAS au printemps 2022 et qui devraient être publiées d'ici l'automne 2022. Une fois qu'elles seront disponibles, il faudra un certain temps pour mettre en œuvre les calculs conformément aux lignes directrices."
Sim,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'au résultat final.
Sim,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
Sim,Incertitude des résultats?,"OUI. Il est possible de modéliser explicitement d'autres hypothèses concernant l'incertitude des résultats, mais il pourrait être difficile de les paramétrer à partir des observations passées étant donné la structure changeante des pêches, l'évaluation qui évolue en cours de saison (p. ex. l'identification des stocks) et l'évolution de l'approche de gestion. Il faut planifier des tests de sensibilité approfondis."
Sim,Covariation de la productivité?,"OUI. Il est possible de modéliser explicitement d'autres hypothèses concernant l'incertitude des résultats, mais il pourrait être difficile de les paramétrer à partir des observations passées étant donné les différentes covariations observées dans des périodes différentes (p. ex. périodes de 20 ans différentes) et les caractéristiques changeantes des stocks (p. ex. variations de la période de montaison, de la fécondité, différentes réactions des lacs aux changements environnementaux). Il faut planifier des tests de sensibilité approfondis."
Sim,Biais dans les estimations des paramètres?,"OUI. Il est possible d'évaluer d'autres règles de contrôle des prises pour déterminer celles qui répondent le mieux aux objectifs de gestion dans les diverses situations qui influent sur l'ampleur et le sens du biais. Cela peut se faire en simulant divers scénarios qui comprennent différents nombres de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs."
Sim,Peut produire un point de référence des regroupements fondé sur l'abondance?,"PEUT-ÊTRE. Peut produire des points de référence de l'abondance pour le regroupement, mais l'échappée fixe n'est que l'un des autres types de règles de contrôle des prises que la simulation prospective peut évaluer. D'autres types peuvent surpasser une politique d'échappée fixe en fonction des objectifs choisis."
Sim,Peut produire une règle de contrôle des prises?,"OUI. D'autres règles de contrôle des prises peuvent être explicitement testées à partir de règles simplifiées pour le regroupement (TE fixe, échappée fixe, TE qui change avec l'abondance) pour en faire des règles de récolte en cours de saison propres à la pêche. Le niveau de détail qui peut être testé dépend de la structure du modèle. Des questions plus détaillées exigent des modèles plus complexes."
Sim,Stocks dont les données sont insuffisantes?,PEUT-ÊTRE. On pourrait ajouter des approximations pour les stocks dont les données sont insuffisantes dans la simulation.
Sim,Permet de prendre en compte les stocks constituants?,"OUI. Les trajectoires de simulation pour chaque stock et pour le regroupement, selon différentes hypothèses, sont évaluées par rapport à d'autres objectifs (p. ex. % des stocks pour lesquels Spn > 80 % de Srmd après 3 générations, médiane des prises du regroupement sur 3 générations, variabilité des prises annuelles)."
Sim,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
Sim,Contraintes temporelles,"LONG. La mise en œuvre complète nécessite un processus formel et itératif pour déterminer la portée du modèle, élaborer des scénarios et interpréter les extrants (c.-à-d. évaluation de la stratégie de gestion). Des simulations plus simples, évaluées en fonction d'objectifs "" typiques "", peuvent être élaborées plus rapidement. Les principaux résultats présentés dans ce document de recherche sont fondés sur des simulations simples, mais comprennent également quelques exemples de considérations supplémentaires (p. ex. covariation de la productivité, taux d'exploitation différentiel pour les stocks en fonction de la période)."
