StkSeq,Basin,Watershed,Group,Stock,StkNmS,Category,Notes
4,Nass,Bell-Irving,3,Oweegee,Oweege,Key Points,"Oweegee Lake is the smallest sockeye stock and CU in the Nass basin. There are no recent, reliable escapement data for this system, where sockeye have been observed rarely and in low numbers during visual surveys targeting other species. No lake rearing capacity estimates or hydroacoustic fall fry surveys have been undertaken at Oweegee Lake."
9,Skeena,Ecstall,3,Ecstall,Ecstall,Key Points,"Ecstall sockeye include sockeye that rear in Ecstall and Lower Lake, and comprise the Ecstall/Lower CU. Ecstall and Lower lakes are the smaller of three known sockeye rearing lakes in the Ecstall watershed. No recent escapement or catch information is available for this stock, which is assumed to have similar production dynamics as Johnston Lake, the largest sockeye system in the Ecstall complex."
15,Skeena,Bulkley,3,Upper Bulkley Lakes,UBulkLk,Key Points,"The Upper Bulkley Lakes stock consists of two CUs, Maxan Lake and Bulkley Lake sockeye. Both are considered as likely to be extirpated as no sockeye have been observed spawning of lake-type sockeye in several decades. While there have been some infrequent observations of sockeye spawning in Upper Bulkley River downstream of the outlet of Bulkley Lake, these are considered to be river-type spawners. Hydroacoustic surveys of Maxan Lake in 2009 and Bulkley Lake in 2010 did not observe any sockeye fry."
23,Skeena,Sicintine,3,Sicintine,Sicintine,Key Points,No reliable spawner or catch estimates. No other stocks in this watershed.
29,Skeena,Kluatantan,3,Kluantantan,Kluant,Key Points,No reliable spawner or catch estimates. No other stocks in this watershed.
30,Skeena,Kluayaz,3,Kluayaz,Kluayaz,Key Points,No reliable spawner or catch estimates. No other stocks in this watershed.
31,Skeena,Multiple,3,Skeena River Type,Skeena RT,Key Points,"The Skeena River Type stock includes all river-type spawners in the Skeena basin that have previously been assigned to the Skeena-RT or Upper Skeena RT conservation units. This stock is considered data deficient. While there have been irregular observations of river-type spawners at several locations on the Skeena mainstem and tributaries including in the Kispiox and Bulkley watersheds, they have not been regularly surveyed. Genetic samples have been collected from several spawning locations for Skeena river-type spawners."
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,Key Points,"Kitsumkalum sockeye rear in  Kitsumkalum Lake, a glacial system with low productivity.  Annual returns have increased substantially since the construction of an artificial spawning channel at the north end of the lake in the early 1990s. Kitsumkalum sockeye typically spend one year in freshwater and return at age 4 or 5."
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,SR Estimation,Text
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,Productivity,Text
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,Capacity Information,Text
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,Juvenile Information,Text
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,Data Issues,Text
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,Sensitivity Tests,Text
12,Skeena,Kitsumkalum,1,Kitsumkalum,Kitsumk,Model Considerations,"There are two distinct periods in the SR data, with brood years before the 1990s falling along a separate line in the scatterplot of ln(R/S) vs. S. We explore SR model fits for all years vs. recent data, with and without infilling for 2 missing brood years. Future work focused more specifically on Kitsumkalum sockeye dynamics should explore time-varying capacity models, but this is outside the scope of the current project."
6,Nass,Damdochax,2,Damdochax,Damdoch,Key Points,"The Damdochax sockeye stock includes sockeye that rear in Damdochax and the cojoined Wiminasik Lake, and spawn in stream sections between Damdochax and Wiminasik Lake and upstream of Wiiminasik Lake. Damdochax sockeye typically spend a single year in freshwater, with a total age of 4 or 5 for returning adults. Regular rotational hydroacoustic fry surveys have been conducted at both lakes since the early 2000s, and PR-capacity estimates are available for both."
6,Nass,Damdochax,2,Damdochax,Damdoch,SR Estimation,Text
6,Nass,Damdochax,2,Damdochax,Damdoch,Productivity,Text
6,Nass,Damdochax,2,Damdochax,Damdoch,Capacity Information,Text
6,Nass,Damdochax,2,Damdochax,Damdoch,Juvenile Information,Text
6,Nass,Damdochax,2,Damdochax,Damdoch,Data Issues,Text
6,Nass,Damdochax,2,Damdochax,Damdoch,Sensitivity Tests,Text
6,Nass,Damdochax,2,Damdochax,Damdoch,Model Considerations,Text
8,Skeena,Ecstall,2,Johnston,Johnston,Key Points,"Johnston Lake sockeye, which rear in Johnston Lake, are the most abundant sockeye stock in the Ecstall drainage.  Johnston Lake sockeye, which are among the earliest migrating smolts in the Skeena watershed, are also the smallest due to exceptionally high densities of fry rearing in the lake. Johnston Lake sockeye are mainly lakeshore spawners and visual spawner escapement surveys are challenging because of glacial turbidity. A PR capacity estimate is available for Johnston Lake, and hydroacoustic surveys were conducted in 2010, 2014, 2016 (and 2019 **cch check). The high abundance and density of fry observed in all years suggest that visual escapement estimates may be biased low. "
8,Skeena,Ecstall,2,Johnston,Johnston,SR Estimation,Text
8,Skeena,Ecstall,2,Johnston,Johnston,Productivity,Text
8,Skeena,Ecstall,2,Johnston,Johnston,Capacity Information,Text
8,Skeena,Ecstall,2,Johnston,Johnston,Juvenile Information,Text
8,Skeena,Ecstall,2,Johnston,Johnston,Data Issues,Text
8,Skeena,Ecstall,2,Johnston,Johnston,Sensitivity Tests,Text
8,Skeena,Ecstall,2,Johnston,Johnston,Model Considerations,Text
NA,Nass,Agg,NA,Nass,Nass,Key Points,Text
NA,Nass,Agg,NA,Nass,Nass,SR Estimation,Text
NA,Nass,Agg,NA,Nass,Nass,Productivity,Text
NA,Nass,Agg,NA,Nass,Nass,Capacity Information,Text
NA,Nass,Agg,NA,Nass,Nass,Juvenile Information,Text
NA,Nass,Agg,NA,Nass,Nass,Data Issues,Text
NA,Nass,Agg,NA,Nass,Nass,Sensitivity Tests,Text
NA,Nass,Agg,NA,Nass,Nass,Model Considerations,"For most of the available data, Meziadin accounts for most of the total spawner abundance. Overall the aggregate data set has good contrast, but most of that is early in the time series. Since the mid-1990s contrast is much lower (<4), but this is partly due to changing stock composition, specifically the recent increase in the abundance and relative contribution of Lower Nass Sea and River Type. Given their different life histories, we consider it more appropriate to fit SR models separately to these two main stocks, but include the aggregate model fits for comparison. "
NA,Skeena,Agg,NA,Skeena,Skeena,Key Points,Text
NA,Skeena,Agg,NA,Skeena,Skeena,SR Estimation,Text
NA,Skeena,Agg,NA,Skeena,Skeena,Productivity,Text
NA,Skeena,Agg,NA,Skeena,Skeena,Capacity Information,Text
NA,Skeena,Agg,NA,Skeena,Skeena,Juvenile Information,Text
NA,Skeena,Agg,NA,Skeena,Skeena,Data Issues,Text
NA,Skeena,Agg,NA,Skeena,Skeena,Sensitivity Tests,Text
NA,Skeena,Agg,NA,Skeena,Skeena,Model Considerations,"Low Contrast in spawner data, because the bulk of the aggregate is from managed spawning channels. We consider it inappropriate to fit a density-dependent SR relationship to the resulting data, because the fit is highly sensitive to small changes in the data set. Bayesian priors can be used to ""force"" the model fit to a particular productivity or capacity we might consider plausible, but that is just a circuitous way of getting pre-determined results. Given on-going debate regarding alternative scales of analysis, we illustrate both of these issues."
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,Key Points,Text
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,SR Estimation,Text
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,Productivity,Text
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,Capacity Information,Text
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,Juvenile Information,Text
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,Data Issues,Text
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,Sensitivity Tests,Text
NA,SkeenaWild,Agg,NA,SkeenaWild,SkeenaWild,Model Considerations,Text
